additional_info,category,rank,score,source,title,url
Type: TV Series | Episodes: 26,Ecchi,10,8.93,AniDB,Hajime no Ippo: The Fighting! - New Challenger,https://anidb.net/anime/6153
Type: Movie | Episodes: 1,Ecchi,11,8.92,AniDB,Gekijouban Made in Abyss: Fukaki Tamashii no Reimei,https://anidb.net/anime/13612
Type: TV Series | Episodes: 25,Ecchi,12,8.85,AniDB,Gintama. (2017),https://anidb.net/anime/13263
Type: TV Series | Episodes: 25,Ecchi,13,8.84,AniDB,Hajime no Ippo: The Fighting! - Rising,https://anidb.net/anime/9982
Type: Web | Episodes: 14,Ecchi,14,8.81,AniDB,Monogatari Series: Off & Monster Season,https://anidb.net/anime/18424
Type: Movie | Episodes: 1,Ecchi,15,8.80,AniDB,Evangelion Shin Gekijouban: Ha,https://anidb.net/anime/6171
Type: Movie | Episodes: 3,Ecchi,16,8.75,AniDB,Kizumonogatari,https://anidb.net/anime/8357
Type: TV Series | Episodes: 43,Ecchi,17,8.74,AniDB,GTO,https://anidb.net/anime/191
Type: TV Series | Episodes: 27,Ecchi,18,8.74,AniDB,Tengen Toppa Gurren Lagann,https://anidb.net/anime/4575
Type: Movie | Episodes: 1,Ecchi,19,8.73,AniDB,Gekijouban Tengen Toppa Gurren Lagann: Lagann Hen,https://anidb.net/anime/6325
Type: TV Series | Episodes: 201,Ecchi,20,8.63,AniDB,Gintama,https://anidb.net/anime/3468
Type: TV Series | Episodes: 28,Comedy,1,9.72,AniDB,Sousou no Frieren,https://anidb.net/anime/17617
Type: TV Series | Episodes: 51,Comedy,2,9.64,AniDB,Gintama (2015),https://anidb.net/anime/10993
Type: TV Series | Episodes: 64,Comedy,3,9.54,AniDB,Hagane no Renkinjutsushi (2009),https://anidb.net/anime/6107
Type: TV Series | Episodes: 24,Comedy,4,9.49,AniDB,Kusuriya no Hitorigoto,https://anidb.net/anime/17870
Type: TV Series | Episodes: 24,Comedy,5,9.47,AniDB,Steins;Gate,https://anidb.net/anime/7729
Type: TV Series | Episodes: 51,Comedy,6,9.46,AniDB,Gintama`,https://anidb.net/anime/8126
Type: TV Series | Episodes: 22,Comedy,7,9.45,AniDB,Sangatsu no Lion (2017),https://anidb.net/anime/12994
Type: TV Series | Episodes: 13,Comedy,8,9.42,AniDB,Gintama` (2012),https://anidb.net/anime/9427
Type: Movie | Episodes: 1,Comedy,9,9.39,AniDB,Suzumiya Haruhi no Shoushitsu,https://anidb.net/anime/7221
Type: Movie | Episodes: 1,Comedy,10,9.38,AniDB,Gintama: The Final,https://anidb.net/anime/14719
