category,rank,title,score,url,additional_info,source
top_anime,1,Sousou no Frieren,9.30,https://myanimelist.net/anime/52991/Sousou_no_Frieren,"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members",MyAnimeList
top_anime,2,Fullmetal Alchemist: Brotherhood,9.10,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members",MyAnimeList
top_anime,3,Steins;Gate,9.07,https://myanimelist.net/anime/9253/Steins_Gate,"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members",MyAnimeList
top_anime,4,Shingeki no Kyojin Season 3 Part 2,9.05,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members",MyAnimeList
top_anime,5,Gintama°,9.05,https://myanimelist.net/anime/28977/Gintama°,"TV (51 eps)
        Apr 2015 - Mar 2016
        670,395 members",MyAnimeList
top_anime,6,Gintama: The Final,9.04,https://myanimelist.net/anime/39486/Gintama__The_Final,"Movie (1 eps)
        Jan 2021 - Jan 2021
        171,208 members",MyAnimeList
top_anime,7,One Piece Fan Letter,9.04,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,"TV Special (1 eps)
        Oct 2024 - Oct 2024
        116,022 members",MyAnimeList
top_anime,8,Hunter x Hunter (2011),9.03,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members",MyAnimeList
top_anime,9,Gintama',9.02,https://myanimelist.net/anime/9969/Gintama,"TV (51 eps)
        Apr 2011 - Mar 2012
        592,421 members",MyAnimeList
top_anime,10,Gintama': Enchousen,9.02,https://myanimelist.net/anime/15417/Gintama__Enchousen,"TV (13 eps)
        Oct 2012 - Mar 2013
        346,950 members",MyAnimeList
top_anime,11,Ginga Eiyuu Densetsu,9.01,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,"OVA (110 eps)
        Jan 1988 - Mar 1997
        346,374 members",MyAnimeList
top_anime,12,Bleach: Sennen Kessen-hen,8.99,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,"TV (13 eps)
        Oct 2022 - Dec 2022
        643,927 members",MyAnimeList
top_anime,13,Gintama.,8.98,https://myanimelist.net/anime/34096/Gintama,"TV (12 eps)
        Jan 2017 - Mar 2017
        336,685 members",MyAnimeList
top_anime,14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members",MyAnimeList
top_anime,15,Fruits Basket: The Final,8.95,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members",MyAnimeList
top_anime,16,Clannad: After Story,8.93,https://myanimelist.net/anime/4181/Clannad__After_Story,"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members",MyAnimeList
top_anime,17,Gintama,8.93,https://myanimelist.net/anime/918/Gintama,"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members",MyAnimeList
top_anime,18,Koe no Katachi,8.93,https://myanimelist.net/anime/28851/Koe_no_Katachi,"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,493,956 members",MyAnimeList
top_anime,19,Code Geass: Hangyaku no Lelouch R2,8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members",MyAnimeList
top_anime,20,3-gatsu no Lion 2nd Season,8.90,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members",MyAnimeList
most_popular,1,Shingeki no Kyojin,8.56,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,"TV (25 eps)
        Apr 2013 - Sep 2013
        4,183,299 members",MyAnimeList
most_popular,2,Death Note,8.62,https://myanimelist.net/anime/1535/Death_Note,"TV (37 eps)
        Oct 2006 - Jun 2007
        4,126,385 members",MyAnimeList
most_popular,3,Fullmetal Alchemist: Brotherhood,9.10,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members",MyAnimeList
most_popular,4,One Punch Man,8.48,https://myanimelist.net/anime/30276/One_Punch_Man,"TV (12 eps)
        Oct 2015 - Dec 2015
        3,398,344 members",MyAnimeList
most_popular,5,Kimetsu no Yaiba,8.43,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,"TV (26 eps)
        Apr 2019 - Sep 2019
        3,271,572 members",MyAnimeList
most_popular,6,Sword Art Online,7.22,https://myanimelist.net/anime/11757/Sword_Art_Online,"TV (25 eps)
        Jul 2012 - Dec 2012
        3,208,778 members",MyAnimeList
most_popular,7,Boku no Hero Academia,7.84,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,"TV (13 eps)
        Apr 2016 - Jun 2016
        3,183,033 members",MyAnimeList
most_popular,8,Hunter x Hunter (2011),9.03,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"TV (148 eps)
        Oct 2011 - Sep 2014
        3,041,219 members",MyAnimeList
most_popular,9,Naruto,8.01,https://myanimelist.net/anime/20/Naruto,"TV (220 eps)
        Oct 2002 - Feb 2007
        3,005,083 members",MyAnimeList
