category,rank,title,score,url,additional_info,source
Ecchi,6,Heaven Official's Blessing 2nd Season,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,Web (12 eps) | 2023 - 2024,AnimePlanet
Ecchi,7,The Master of Diabolism 3,N/A,https://www.anime-planet.com/anime/the-master-of-diabolism-3,Web (12 eps) | 2021,AnimePlanet
Ecchi,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,N/A,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,TV (11 eps) | 2021 - 2022,AnimePlanet
Ecchi,9,ALIEN STAGE,N/A,https://www.anime-planet.com/anime/alien-stage,Web (11 eps) | 2022,AnimePlanet
Ecchi,10,Fruits Basket the Final Season,N/A,https://www.anime-planet.com/anime/fruits-basket-the-final-season,TV (13 eps) | 2021,AnimePlanet
Ecchi,11,Attack on Titan 3rd Season: Part II,N/A,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,TV (10 eps) | 2019,AnimePlanet
Ecchi,12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,N/A,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,TV (10 eps) | 2016,AnimePlanet
Ecchi,13,Bleach: Thousand-Year Blood War,N/A,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,TV (13 eps) | 2022,AnimePlanet
Ecchi,14,A Silent Voice,N/A,https://www.anime-planet.com/anime/a-silent-voice,Movie (1 ep) | 2016,AnimePlanet
Ecchi,15,Haikyuu!! Second Season,N/A,https://www.anime-planet.com/anime/haikyuu-second-season,TV (25 eps) | 2015 - 2016,AnimePlanet
Ecchi,16,your name.,N/A,https://www.anime-planet.com/anime/your-name,Movie (1 ep) | 2016,AnimePlanet
Ecchi,17,Jujutsu Kaisen,N/A,https://www.anime-planet.com/anime/jujutsu-kaisen,TV (24 eps) | 2020 - 2021,AnimePlanet
Ecchi,18,Attack on Titan The Final Season: The Final Chapters,N/A,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,TV Special (2 eps) | 2023,AnimePlanet
Ecchi,19,Heaven Official's Blessing Special,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-special,Web (1 ep) | 2021,AnimePlanet
Ecchi,20,Hunter x Hunter (2011),N/A,https://www.anime-planet.com/anime/hunter-x-hunter-2011,TV (148 eps) | 2011 - 2014,AnimePlanet
Slice of Life,1,Frieren: Beyond Journey's End,N/A,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,TV (28 eps) | 2023 - 2024,AnimePlanet
Slice of Life,2,The Apothecary Diaries,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries,TV (24 eps) | 2023 - 2024,AnimePlanet
Slice of Life,3,The Apothecary Diaries 2nd Season,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season,TV (23+ eps) | 2025 - ?,AnimePlanet
Slice of Life,4,Fullmetal Alchemist: Brotherhood,N/A,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,TV (64 eps) | 2009 - 2010,AnimePlanet
Slice of Life,5,Solo Leveling Season 2: Arise from the Shadow,N/A,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow,TV (13 eps) | 2025,AnimePlanet
Slice of Life,6,Heaven Official's Blessing 2nd Season,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,Web (12 eps) | 2023 - 2024,AnimePlanet
Slice of Life,7,The Master of Diabolism 3,N/A,https://www.anime-planet.com/anime/the-master-of-diabolism-3,Web (12 eps) | 2021,AnimePlanet
Slice of Life,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,N/A,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,TV (11 eps) | 2021 - 2022,AnimePlanet
Slice of Life,9,ALIEN STAGE,N/A,https://www.anime-planet.com/anime/alien-stage,Web (11 eps) | 2022,AnimePlanet
Slice of Life,10,Fruits Basket the Final Season,N/A,https://www.anime-planet.com/anime/fruits-basket-the-final-season,TV (13 eps) | 2021,AnimePlanet
Slice of Life,11,Attack on Titan 3rd Season: Part II,N/A,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,TV (10 eps) | 2019,AnimePlanet
Slice of Life,12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,N/A,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,TV (10 eps) | 2016,AnimePlanet
Slice of Life,13,Bleach: Thousand-Year Blood War,N/A,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,TV (13 eps) | 2022,AnimePlanet
Slice of Life,14,A Silent Voice,N/A,https://www.anime-planet.com/anime/a-silent-voice,Movie (1 ep) | 2016,AnimePlanet
Slice of Life,15,Haikyuu!! Second Season,N/A,https://www.anime-planet.com/anime/haikyuu-second-season,TV (25 eps) | 2015 - 2016,AnimePlanet
Slice of Life,16,your name.,N/A,https://www.anime-planet.com/anime/your-name,Movie (1 ep) | 2016,AnimePlanet
Slice of Life,17,Jujutsu Kaisen,N/A,https://www.anime-planet.com/anime/jujutsu-kaisen,TV (24 eps) | 2020 - 2021,AnimePlanet
Slice of Life,18,Attack on Titan The Final Season: The Final Chapters,N/A,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,TV Special (2 eps) | 2023,AnimePlanet
Slice of Life,19,Heaven Official's Blessing Special,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-special,Web (1 ep) | 2021,AnimePlanet
Slice of Life,20,Hunter x Hunter (2011),N/A,https://www.anime-planet.com/anime/hunter-x-hunter-2011,TV (148 eps) | 2011 - 2014,AnimePlanet
Comedy,1,Frieren: Beyond Journey's End,N/A,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,TV (28 eps) | 2023 - 2024,AnimePlanet
Comedy,2,The Apothecary Diaries,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries,TV (24 eps) | 2023 - 2024,AnimePlanet
Comedy,3,The Apothecary Diaries 2nd Season,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season,TV (23+ eps) | 2025 - ?,AnimePlanet
Comedy,4,Fullmetal Alchemist: Brotherhood,N/A,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,TV (64 eps) | 2009 - 2010,AnimePlanet
Comedy,5,Solo Leveling Season 2: Arise from the Shadow,N/A,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow,TV (13 eps) | 2025,AnimePlanet
Comedy,6,Heaven Official's Blessing 2nd Season,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,Web (12 eps) | 2023 - 2024,AnimePlanet
Comedy,7,The Master of Diabolism 3,N/A,https://www.anime-planet.com/anime/the-master-of-diabolism-3,Web (12 eps) | 2021,AnimePlanet
Comedy,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,N/A,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,TV (11 eps) | 2021 - 2022,AnimePlanet
Comedy,9,ALIEN STAGE,N/A,https://www.anime-planet.com/anime/alien-stage,Web (11 eps) | 2022,AnimePlanet
Comedy,10,Fruits Basket the Final Season,N/A,https://www.anime-planet.com/anime/fruits-basket-the-final-season,TV (13 eps) | 2021,AnimePlanet
Comedy,11,Attack on Titan 3rd Season: Part II,N/A,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,TV (10 eps) | 2019,AnimePlanet
Comedy,12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,N/A,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,TV (10 eps) | 2016,AnimePlanet
Comedy,13,Bleach: Thousand-Year Blood War,N/A,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,TV (13 eps) | 2022,AnimePlanet
Comedy,14,A Silent Voice,N/A,https://www.anime-planet.com/anime/a-silent-voice,Movie (1 ep) | 2016,AnimePlanet
Comedy,15,Haikyuu!! Second Season,N/A,https://www.anime-planet.com/anime/haikyuu-second-season,TV (25 eps) | 2015 - 2016,AnimePlanet
Comedy,16,your name.,N/A,https://www.anime-planet.com/anime/your-name,Movie (1 ep) | 2016,AnimePlanet
Comedy,17,Jujutsu Kaisen,N/A,https://www.anime-planet.com/anime/jujutsu-kaisen,TV (24 eps) | 2020 - 2021,AnimePlanet
Comedy,18,Attack on Titan The Final Season: The Final Chapters,N/A,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,TV Special (2 eps) | 2023,AnimePlanet
Comedy,19,Heaven Official's Blessing Special,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-special,Web (1 ep) | 2021,AnimePlanet
Comedy,20,Hunter x Hunter (2011),N/A,https://www.anime-planet.com/anime/hunter-x-hunter-2011,TV (148 eps) | 2011 - 2014,AnimePlanet
