additional_info,category,rank,score,source,title,url
"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members",Slice of Life,16,8.93,MyAnimeList,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members",Slice of Life,17,8.93,MyAnimeList,Gintama,https://myanimelist.net/anime/918/Gintama
"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members",Slice of Life,18,8.93,MyAnimeList,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members",Slice of Life,19,8.91,MyAnimeList,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members",Slice of Life,20,8.90,MyAnimeList,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
"TV (28 eps)
        Sep 2023 - Mar 2024
        1,154,793 members",Comedy,1,9.30,MyAnimeList,Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren
"TV (64 eps)
        Apr 2009 - Jul 2010
        3,539,165 members",Comedy,2,9.10,MyAnimeList,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
"TV (24 eps)
        Apr 2011 - Sep 2011
        2,710,537 members",Comedy,3,9.07,MyAnimeList,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
"TV (10 eps)
        Apr 2019 - Jul 2019
        2,461,097 members",Comedy,4,9.05,MyAnimeList,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
"TV (51 eps)
        Apr 2015 - Mar 2016
        670,442 members",Comedy,5,9.05,MyAnimeList,Gintama°,https://myanimelist.net/anime/28977/Gintama°
